Zip Code,State,City
31701,GA,ALBANY
28311,NC,FAYETTEVILLE
30179,GA,TEMPLE
98930,WA,GRANDVIEW
67345,KS,ELK FALLS
66046,KS,LAWRENCE
61356,IL,PRINCETON
56226,MN,CLONTARF
76433,TX,BLUFF DALE
67838,KS,DEERFIELD
99683,AK,TRAPPER CREEK
11727,NY,CORAM
52624,IA,DENMARK
15720,PA,BRUSH VALLEY
50048,IA,CASEY
63760,MO,LEOPOLD
01854,MA,LOWELL
45895,OH,WAPAKONETA
01534,MA,NORTHBRIDGE
43968,OH,WELLSVILLE
38855,MS,MANTACHIE
11030,NY,PLANDOME
77502,TX,PASADENA
83824,ID,DESMET
95111,CA,SAN JOSE
95565,CA,SCOTIA
57355,SD,KIMBALL
17112,PA,HARRISBURG
26767,WV,WILEY FORD
66944,KS,HADDAM
60666,IL,AMF OHARE
32073,FL,ORANGE PARK
47234,IN,FLAT ROCK
15670,PA,NEW ALEXANDRIA
60953,IL,MILFORD
45711,OH,AMESVILLE
83835,ID,HAYDEN LAKE
73641,OK,DILL CITY
48653,MI,ROSCOMMON
71033,LA,GREENWOOD
06901,CT,STAMFORD
58564,ND,RALEIGH
18938,PA,NEW HOPE
29516,SC,BLENHEIM
91302,CA,CALABASAS
03048,NH,MASON
47126,IN,HENRYVILLE
18923,PA,FOUNTAINVILLE
90248,CA,GARDENA
46260,IN,NORA
01452,MA,HUBBARDSTON
06259,CT,POMFRET CENTER
14423,NY,CALEDONIA
57386,SD,YALE
47424,IN,BLOOMFIELD
07090,NJ,WESTFIELD
63780,MO,SCOTT CITY
63670,MO,LAKE FOREST ESTA
45052,OH,NORTH BEND
24324,VA,DRAPER
48612,MI,BEAVERTON
32696,FL,WILLISTON
63432,MO,ARBELA
67646,KS,LOGAN
78756,TX,AUSTIN
06854,CT,NORWALK
37329,TN,ENGLEWOOD
83316,ID,BUHL
66843,KS,CLEMENTS
35574,AL,KENNEDY
12817,NY,CHESTERTOWN
42722,KY,CANMER
74741,OK,HENDRIX
81654,CO,SNOWMASS
47556,IN,MARIAH HILL
91762,CA,ONTARIO
30230,GA,HOGANSVILLE
78621,TX,ELGIN
99921,AK,CRAIG
92532,CA,LAKE ELSINORE
95526,CA,RUTH
61753,IL,LEXINGTON
15546,PA,JENNERS
11225,NY,BROOKLYN
87731,NM,MONTEZUMA
40007,KY,BETHLEHEM
15928,PA,DAVIDSVILLE
38106,TN,MEMPHIS
95354,CA,MODESTO
10801,NY,NEW ROCHELLE
47017,IN,CROSS PLAINS
02885,RI,WARREN
70755,LA,LIVONIA
85258,AZ,SCOTTSDALE
34945,FL,FORT PIERCE
82442,WY,TEN SLEEP
11576,NY,ROSLYN
08528,NJ,KINGSTON
03229,NH,HOPKINTON
68516,NE,LINCOLN
12972,NY,PERU
34669,FL,HUDSON
58792,ND,BERGEN
49050,MI,DOWLING
66945,KS,HANOVER
60012,IL,CRYSTAL LAKE
67217,KS,WICHITA
87573,NM,TERERRO
64426,MO,BLYTHEDALE
41722,KY,TRIBBEY
83811,ID,CLARK FORK
37035,TN,CHAPMANSBORO
61361,IL,SHEFFIELD
37814,TN,MORRISTOWN
27978,NC,STUMPY POINT
13780,NY,GUILFORD
78739,TX,AUSTIN
13736,NY,BERKSHIRE
14059,NY,ELMA
99579,AK,EGEGIK
62514,IL,BOODY
01375,MA,SUNDERLAND
58581,ND,ZEELAND
94937,CA,INVERNESS
87009,NM,CEDARVALE
06277,CT,THOMPSON
60609,IL,CHICAGO
39042,MS,BRANDON
22655,VA,STEPHENS CITY
78217,TX,SAN ANTONIO
45064,OH,SOMERVILLE
41540,KY,LICK CREEK
08869,NJ,RARITAN
08314,NJ,DELMONT
15616,PA,ARMBRUST
84013,UT,CEDAR VALLEY
97864,OR,MONUMENT
85356,AZ,WELLTON
11717,NY,WEST BRENTWOOD
29803,SC,AIKEN
32712,FL,APOPKA
43976,OH,HOPEDALE
97901,OR,ADRIAN
76070,TX,NEMO
33707,FL,SAINT PETERSBURG
60007,IL,ELK GROVE VILLAG
63533,MO,BRASHEAR
49266,MI,OSSEO
43060,OH,NORTH LEWISBURG
45402,OH,DAYTON
77375,TX,TOMBALL
45107,OH,BLANCHESTER
49235,MI,CLAYTON
12140,NY,POESTENKILL
71067,LA,PRINCETON
78537,TX,DONNA
63501,MO,KIRKSVILLE
61701,IL,BLOOMINGTON
17881,PA,TREVORTON
98312,WA,BREMERTON
99025,WA,NEWMAN LAKE
03079,NH,SALEM
13108,NY,MARCELLUS
14101,NY,MACHIAS
06385,CT,WATERFORD
50237,IA,RUNNELLS
95834,CA,SACRAMENTO
59262,MT,SAVAGE
13633,NY,DE PEYSTER
20619,MD,CALIFORNIA
29615,SC,GREENVILLE
43977,OH,FLUSHING
18507,PA,MOOSIC
45880,OH,PAYNE
56284,MN,RENVILLE
53538,WI,FORT ATKINSON
49774,MI,PICKFORD
62255,IL,LENZBURG
01970,MA,SALEM
42518,KY,BRONSTON
65337,MO,LA MONTE
95454,CA,LAYTONVILLE
05154,VT,SAXTONS RIVER
21045,MD,COLUMBIA
16146,PA,SHARON
30543,GA,GILLSVILLE
72030,AR,CLEVELAND
59027,MT,EMIGRANT
57701,SD,ROCKERVILLE
05830,VT,DERBY LINE
24442,VA,HEAD WATERS
70816,LA,BATON ROUGE
32465,FL,WEWAHITCHKA
30746,GA,SUGAR VALLEY
97479,OR,SUTHERLIN
43348,OH,RUSSELLS POINT
35586,AL,SULLIGENT
51355,IA,OKOBOJI
84404,UT,OGDEN
95366,CA,RIPON
02921,RI,CRANSTON
32159,FL,LADY LAKE
27921,NC,CAMDEN
95525,CA,BLUE LAKE
58721,ND,COTEAU
74027,OK,DELAWARE
52134,IA,CHESTER
20733,MD,CHURCHTON
08735,NJ,LAVALLETTE
34695,FL,SAFETY HARBOR
66061,KS,OLATHE
52133,IA,CASTALIA
44032,OH,DORSET
28352,NC,LAURINBURG
62033,IL,DORCHESTER
79766,TX,ODESSA
49425,MI,HOLTON
14025,NY,BOSTON
50588,IA,STORM LAKE
73463,OK,RUBOTTOM
24701,WV,BLUEWELL
46807,IN,FORT WAYNE
29001,SC,ALCOLU
52248,IA,KEOTA
08829,NJ,HIGH BRIDGE
66044,KS,LAWRENCE
15665,PA,MANOR
32686,FL,IRVINE
11105,NY,ASTORIA
89109,NV,LAS VEGAS
87310,NM,BRIMHALL
54644,WI,MINDORO
13331,NY,EAGLE BAY
70508,LA,LAFAYETTE
04862,ME,UNION
92662,CA,NEWPORT BEACH
90720,CA,ROSSMOOR
62288,IL,STEELEVILLE
67151,KS,WALTON
50864,IA,VILLISCA
67132,KS,ROSALIA
15926,PA,CENTRAL CITY
80229,CO,THORNTON
56228,MN,COSMOS
23464,VA,VIRGINIA BEACH
37166,TN,SMITHVILLE
27243,NC,EFLAND
27239,NC,DENTON
11967,NY,SHIRLEY
07036,NJ,LINDEN
45780,OH,THE PLAINS
93501,CA,MOJAVE
13622,NY,CHAUMONT
41085,KY,SILVER GROVE
70722,LA,CLINTON
38848,MS,GREENWOOD SPRING
01262,MA,STOCKBRIDGE
58316,ND,BELCOURT
56168,MN,RUSHMORE
76454,TX,GORMAN
56174,MN,STORDEN
69211,NE,CODY
49017,MI,BATTLE CREEK
50010,IA,AMES
99036,WA,VALLEYFORD
92571,CA,PERRIS
60955,IL,ONARGA
51246,IA,ROCK RAPIDS
21701,MD,LEWISTOWN
03561,NH,LITTLETON
01223,MA,BECKET
76205,TX,DENTON
59845,MT,HOT SPRINGS
03860,NH,NORTH CONWAY
13418,NY,NORTH BROOKFIELD
37778,TN,LOWLAND
99159,WA,ODESSA
22303,VA,JEFFERSON MANOR
67837,KS,COPELAND
57045,SD,MENNO
29640,SC,EASLEY
